iter	RMSE
303	13874.51873
304	13773.32717
305	13726.22237
306	13685.18199
307	13606.94603
308	13583.06117
309	13520.98843
310	13407.44098
311	13384.57874
312	13366.95905
313	13345.09111
314	13312.21097
315	13227.52812
316	13129.23085
317	13111.7366
318	13094.84187
319	13078.53466
320	12991.81178
321	12908.29704
322	12872.49741
323	12775.65132
324	12678.59355
325	12587.59717
326	12552.55192
327	12461.50819
328	12375.09735
329	12292.38152
330	12235.37372
331	12156.54593
332	12101.74105
333	12077.18213
334	11981.60744
335	11926.79528
336	11859.49731
337	11794.81681
338	11778.97354
339	11716.87196
340	11627.65116
341	11568.05206
342	11497.58676
343	11466.36293
344	11435.9597
345	11390.36421
346	11363.22069
347	11297.98301
348	11254.19789
349	11218.03316
350	11148.40766
351	11087.60408
352	11067.55048
353	11026.46338
354	10972.15431
355	10931.61406
356	10870.01857
357	10790.48439
358	10729.35539
359	10674.64372
360	10642.62098
361	10611.45343
362	10544.52553
363	10514.57629
364	10465.79345
365	10436.79441
366	10391.17944
367	10347.14621
368	10319.26882
369	10277.05541
370	10236.17828
371	10189.82241
372	10150.76953
373	10097.50549
374	10060.61394
375	10011.49967
376	9993.417751
377	9945.323461
378	9927.67042
379	9878.097997
380	9860.970145
381	9844.249854
382	9827.926459
383	9759.893969
384	9687.517824
385	9664.085773
386	9618.48567
387	9594.967147
388	9572.073885
389	9549.789445
390	9502.974117
391	9458.088321
392	9419.195909
393	9377.774984
394	9363.332004
395	9298.060253
396	9276.727974
397	9235.650656
398	9214.930141
399	9176.544356
400	9163.513029
401	9097.245283
402	9062.016363
403	9052.035449
404	9010.971136
405	8992.561028
406	8953.327894
407	8936.375707
408	8908.513668
409	8852.353696
410	8815.670127
411	8783.242169
412	8748.369076
413	8736.461826
414	8718.209292
415	8666.955101
416	8632.689486
417	8609.111068
418	8595.445166
419	8584.334004
420	8562.130488
421	8513.989338
422	8492.86766
423	8475.884593
424	8463.420784
425	8444.735247
426	8436.253927
427	8420.416743
428	8374.139199
429	8342.097011
430	8331.170159
431	8316.064305
432	8285.468652
433	8265.27519
434	8221.202848
435	8210.156737
436	8193.91425
437	8161.189269
438	8150.936195
439	8140.992423
440	8112.094236
441	8102.392457
442	8092.594002
443	8079.338494
444	8070.193398
445	8026.657053
446	7995.128295
447	7963.989189
448	7941.282756
449	7898.16167
450	7875.370611
451	7861.987382
452	7853.049078
453	7824.411485
454	7792.76671
455	7737.220512
456	7686.662034
457	7660.033592
458	7640.36211
459	7618.278522
460	7591.339949
461	7577.35007
462	7553.525624
463	7534.079122
464	7513.61645
465	7494.669553
466	7467.011251
467	7435.231834
468	7422.265091
469	7387.860414
470	7370.186719
471	7350.834848
472	7329.58407
473	7317.209588
474	7300.556
475	7288.454311
476	7271.973489
477	7260.354474
478	7234.316412
479	7216.014303
480	7184.133939
481	7167.05332
482	7151.827279
483	7134.402362
484	7113.935073
485	7100.887371
486	7083.912011
487	7073.347797
488	7057.929426
489	7034.438256
490	7024.507104
491	7003.056317
492	6984.794224
493	6966.812919
494	6917.416168
495	6905.159591
496	6896.112789
497	6865.097577
498	6847.812745
499	6803.621233
500	6756.070259
501	6739.526701
502	6724.0571
503	6682.404653
504	6660.035492
505	6630.740622
506	6616.342675
507	6588.339924
508	6548.929924
509	6533.739929
510	6495.961353
511	6484.093022
512	6470.413451
513	6458.032206
514	6444.416625
515	6407.991883
516	6363.790656
517	6328.105353
518	6294.882785
519	6268.870953
520	6256.819427
521	6235.041565
522	6195.37253
523	6166.560636
524	6156.483232
525	6141.977454
526	6111.777746
527	6074.589667
528	6055.823458
529	6048.399314
530	6027.092032
531	6010.729051
532	5982.014328
533	5946.773879
534	5929.118599
535	5922.967532
536	5907.369512
537	5866.596659
538	5843.380192
539	5830.900862
540	5816.247315
541	5790.322615
542	5749.406117
543	5716.668128
544	5694.137805
545	5655.767891
546	5643.172429
547	5629.205355
548	5610.913558
549	5590.294646
550	5581.157986
551	5544.862926
552	5537.141455
553	5530.405327
554	5521.810547
555	5474.508667
556	5470.176935
557	5466.001988
558	5458.243115
559	5452.179897
560	5444.197596
561	5421.899337
562	5416.933687
563	5408.649592
564	5400.47714
565	5395.641833
566	5387.186396
567	5369.621709
568	5350.997854
569	5317.036666
570	5283.279273
571	5275.444061
572	5267.959939
573	5252.400627
574	5231.290183
575	5221.303187
576	5210.52142
577	5190.864172
578	5183.166452
579	5162.948079
580	5139.799571
581	5129.821319
582	5112.642563
583	5082.903132
584	5061.213351
585	5052.081874
586	5040.739639
587	5025.691273
588	5002.753736
589	4972.469997
590	4967.401491
591	4957.62576
592	4945.065911
593	4923.831363
594	4908.100094
595	4891.138465
596	4883.267567
597	4855.645152
598	4838.626523
599	4833.120319
600	4822.841155
601	4800.604861
602	4781.126578
603	4764.978985
604	4756.92158
605	4736.181592
606	4721.185718
607	4702.13794
608	4692.550237
609	4678.884637
610	4661.493813
611	4641.73897
612	4623.741561
613	4606.592737
614	4590.414492
615	4576.260587
616	4560.604801
617	4553.137279
618	4547.963106
619	4542.102312
620	4529.207003
621	4524.252832
622	4501.498607
623	4483.74743
624	4478.735334
625	4463.628035
626	4453.440124
627	4451.093346
628	4436.433814
629	4433.635776
630	4419.912653
631	4395.888626
632	4386.405135
633	4381.513185
634	4374.512534
635	4369.896962
636	4356.235505
637	4335.264719
638	4328.240463
639	4325.594779
640	4322.921214
641	4307.511029
642	4304.51734
643	4292.175448
644	4289.267663
645	4279.685915
646	4272.38859
647	4252.31856
648	4233.240264
649	4228.035375
650	4214.968125
651	4199.765363
652	4190.079268
653	4172.895101
654	4166.300799
655	4146.640516
656	4127.686964
657	4115.628626
658	4107.908119
659	4099.359321
660	4093.434453
661	4090.492954
662	4070.531151
663	4048.342141
664	4035.960835
665	4015.923951
666	4010.214724
667	4006.452687
668	4000.20736
669	3991.016023
670	3979.973905
671	3976.894374
672	3960.075239
673	3941.786955
674	3923.240124
675	3920.465005
676	3916.334497
677	3913.382559
678	3899.248754
679	3897.178967
680	3871.008441
681	3864.835123
682	3862.339676
683	3858.042796
684	3853.977678
685	3845.072537
686	3839.443185
687	3837.038751
688	3830.412832
689	3826.851713
690	3821.708106
691	3811.182265
692	3794.578641
693	3791.821609
694	3779.54314
695	3762.724146
696	3759.563866
697	3757.290589
698	3738.146627
699	3734.28731
700	3724.175877
701	3721.13211
702	3702.450816
703	3687.883161
704	3682.549778
705	3680.451625
706	3664.755182
707	3651.250371
708	3640.762674
709	3638.356446
710	3624.100977
711	3616.747139
712	3601.36915
713	3596.097681
714	3594.171041
715	3588.112172
716	3578.047966
717	3571.930142
718	3567.450382
719	3562.000364
720	3544.170179
721	3539.292794
722	3527.533611
723	3521.801935
724	3519.950667
725	3514.062698
726	3507.68397
727	3493.782395
728	3490.053627
729	3483.696816
730	3471.100248
731	3467.543429
732	3463.006166
733	3451.613212
734	3440.152456
735	3433.262571
736	3418.506123
737	3414.838071
738	3411.442873
739	3405.877088
740	3401.40148
741	3399.867972
742	3392.967983
743	3390.073253
744	3380.297493
745	3366.277397
746	3355.305119
747	3347.4021
748	3345.693247
749	3333.391975
750	3320.16924
751	3302.596669
752	3294.099916
753	3283.780559
754	3282.109297
755	3272.275409
756	3263.446595
757	3260.398308
758	3256.771007
759	3255.377168
760	3243.855506
761	3232.460449
762	3222.383868
763	3221.02579
764	3205.758138
765	3195.083063
766	3186.472735
767	3178.708181
768	3170.467149
769	3161.117448
770	3150.984748
771	3149.456159
772	3140.554317
773	3127.582877
774	3116.154966
775	3111.770665
776	3103.406486
777	3100.462721
778	3094.872331
779	3091.079662
780	3086.88528
781	3077.373563
782	3064.535003
783	3059.756211
784	3051.013288
785	3039.881169
786	3035.932558
787	3026.561656
788	3015.84861
789	3008.937879
790	3006.106422
791	2994.265643
792	2991.690739
793	2988.996325
794	2985.447131
795	2981.061148
796	2974.224529
797	2970.577719
798	2960.112289
799	2954.895833
800	2951.695754
801	2945.667553
802	2942.564196
803	2940.003556
804	2935.209153
805	2926.839236
806	2917.049896
807	2910.537775
808	2906.777657
809	2899.749107
810	2894.520901
811	2889.691161
812	2887.081296
813	2884.87736
814	2875.334894
815	2868.709488
816	2865.028825
817	2864.154583
818	2851.669995
819	2840.414261
820	2826.946385
821	2822.459671
822	2814.574124
823	2807.329842
824	2797.117755
825	2788.879385
826	2776.833767
827	2774.963199
828	2772.309776
829	2761.872937
830	2755.517855
831	2748.968996
832	2743.045253
833	2740.64034
834	2733.599927
835	2722.39622
836	2713.879777
837	2708.972197
838	2706.667049
839	2704.523015
840	2695.431193
841	2686.506737
842	2675.650446
843	2673.486839
844	2667.843478
845	2658.812689
846	2657.132916
847	2648.624023
848	2645.531174
849	2642.909272
850	2639.796333
851	2631.347808
852	2627.747487
853	2622.018817
854	2618.32962
855	2609.470256
856	2606.349361
857	2601.056788
858	2591.900953
859	2588.875429
860	2586.578754
861	2577.979967
862	2570.782957
863	2566.106202
864	2560.564797
865	2556.515478
866	2547.26556
867	2539.845026
868	2536.160305
869	2533.769495
870	2529.554554
871	2527.297218
872	2522.073111
873	2519.46471
874	2515.871848
875	2511.021267
876	2506.261935
877	2502.814398
878	2496.225121
879	2489.216445
880	2482.417632
881	2475.391323
882	2471.730048
883	2465.511649
884	2462.493655
885	2460.058198
886	2456.960728
887	2447.869468
888	2444.99256
889	2440.532325
890	2437.558954
891	2431.764115
892	2429.303265
893	2422.051495
894	2417.543676
895	2414.839582
896	2412.085549
897	2408.10551
898	2403.19809
899	2398.812866
900	2395.623199
901	2388.928554
902	2385.281646
903	2381.860027
904	2379.976001
905	2374.153513
906	2373.413424
907	2368.17276
908	2364.942176
909	2355.25428
910	2350.403189
911	2347.802147
912	2344.37912
913	2337.665501
914	2334.049252
915	2326.518592
916	2322.844853
917	2317.30365
918	2315.952751
919	2311.060473
920	2302.178114
921	2299.47691
922	2295.218504
923	2291.879516
924	2288.982429
925	2283.485622
926	2276.489393
927	2268.849672
928	2263.510069
929	2258.223875
930	2256.155378
931	2251.100556
932	2246.63673
933	2244.462957
934	2242.770963
935	2240.882017
936	2240.010565
937	2238.194299
938	2236.962747
939	2229.049985
940	2224.52503
941	2223.821361
942	2221.427652
943	2219.145209
944	2217.047095
945	2215.264459
946	2207.846198
947	2201.785125
948	2199.34452
949	2195.745984
950	2192.592452
951	2185.654636
952	2179.762112
953	2174.368313
954	2169.856574
955	2163.639817
956	2158.950799
957	2151.697995
958	2150.023291
959	2145.796208
960	2142.278926
961	2136.255211
962	2134.770332
963	2129.621978
964	2123.276338
965	2121.834058
966	2120.557616
967	2115.947058
968	2109.981799
969	2106.328718
970	2105.008466
971	2099.429063
972	2095.06958
973	2092.050097
974	2091.277478
975	2086.22261
976	2082.083253
977	2079.312529
978	2075.982169
979	2071.005624
980	2065.529549
981	2062.432472
982	2060.571172
983	2054.755092
984	2051.735367
985	2046.959668
986	2042.143535
987	2036.863869
988	2035.249949
989	2030.425896
990	2026.241137
991	2024.396103
992	2023.522775
993	2019.974103
994	2018.561266
995	2013.499517
996	2008.529391
997	2007.332948
998	2002.917704
999	2001.956191
