iter	Passed	Remaining
439	1279	1629
440	1282	1625
441	1284	1621
442	1286	1618
443	1289	1614
444	1291	1611
445	1294	1607
446	1296	1604
447	1299	1600
448	1301	1597
449	1303	1593
450	1306	1590
451	1308	1586
452	1311	1583
453	1313	1579
454	1315	1576
455	1318	1572
456	1320	1569
457	1322	1565
458	1325	1561
459	1327	1558
460	1329	1554
461	1332	1551
462	1334	1547
463	1336	1544
464	1339	1540
465	1341	1537
466	1344	1533
467	1346	1530
468	1348	1527
469	1351	1523
470	1353	1520
471	1355	1516
472	1358	1513
473	1360	1509
474	1362	1506
475	1365	1502
476	1367	1499
477	1369	1495
478	1371	1492
479	1374	1488
480	1376	1485
481	1379	1482
482	1381	1478
483	1383	1474
484	1385	1471
485	1388	1468
486	1390	1464
487	1392	1461
488	1395	1457
489	1397	1454
490	1399	1450
491	1401	1447
492	1404	1444
493	1406	1440
494	1408	1437
495	1411	1433
496	1413	1430
497	1415	1427
498	1418	1423
499	1420	1420
500	1422	1417
501	1425	1413
502	1427	1410
503	1429	1407
504	1432	1404
505	1434	1400
506	1436	1397
507	1439	1394
508	1441	1390
509	1444	1387
510	1446	1384
511	1448	1380
512	1451	1377
513	1453	1374
514	1457	1372
515	1460	1369
516	1462	1366
517	1464	1363
518	1467	1359
519	1469	1356
520	1471	1353
521	1474	1350
522	1476	1346
523	1479	1343
524	1481	1340
525	1484	1337
526	1488	1335
527	1490	1332
528	1492	1329
529	1495	1325
530	1497	1322
531	1499	1319
532	1502	1316
533	1504	1313
534	1506	1309
535	1509	1306
536	1511	1303
537	1513	1300
538	1516	1296
539	1518	1293
540	1521	1290
541	1523	1287
542	1525	1284
543	1528	1280
544	1530	1277
545	1532	1274
546	1535	1271
547	1537	1268
548	1540	1265
549	1542	1261
550	1544	1258
551	1547	1255
552	1549	1252
553	1551	1249
554	1554	1246
555	1556	1242
556	1559	1240
557	1562	1237
558	1564	1234
559	1567	1231
560	1569	1228
561	1572	1225
562	1574	1222
563	1577	1219
564	1579	1216
565	1582	1213
566	1584	1209
567	1586	1206
568	1589	1204
569	1592	1201
570	1594	1198
571	1597	1194
572	1599	1191
573	1601	1188
574	1604	1185
575	1606	1182
576	1608	1179
577	1611	1176
578	1613	1173
579	1615	1170
580	1618	1167
581	1620	1164
582	1623	1160
583	1625	1157
584	1627	1154
585	1630	1151
586	1632	1148
587	1634	1145
588	1637	1142
589	1639	1139
590	1642	1136
591	1644	1133
592	1646	1130
593	1650	1127
594	1652	1124
595	1654	1121
596	1657	1118
597	1659	1115
598	1661	1112
599	1664	1109
600	1666	1106
601	1669	1103
602	1672	1101
603	1674	1097
604	1677	1094
605	1679	1091
606	1681	1088
607	1684	1085
608	1686	1082
609	1688	1079
610	1691	1076
611	1693	1073
612	1696	1070
613	1698	1067
614	1700	1064
615	1703	1061
616	1705	1058
617	1707	1055
618	1710	1052
619	1712	1049
620	1715	1046
621	1717	1043
622	1720	1040
623	1722	1037
624	1724	1034
625	1727	1031
626	1729	1029
627	1732	1026
628	1734	1023
629	1736	1020
630	1739	1017
631	1741	1014
632	1743	1011
633	1746	1008
634	1748	1005
635	1751	1002
636	1753	999
637	1755	996
638	1758	993
639	1760	990
640	1762	987
641	1765	984
642	1767	981
643	1769	978
644	1771	975
645	1774	972
646	1776	969
647	1778	966
648	1781	963
649	1783	960
650	1785	957
651	1788	954
652	1790	951
653	1792	948
654	1795	945
655	1797	942
656	1800	939
657	1802	936
658	1805	934
659	1807	931
660	1809	928
661	1812	925
662	1814	922
663	1816	919
664	1819	916
665	1821	913
666	1823	910
667	1826	907
668	1828	904
669	1830	901
670	1833	898
671	1836	896
672	1839	893
673	1842	890
674	1844	888
675	1846	885
676	1849	882
677	1851	879
678	1853	876
679	1855	873
680	1858	870
681	1860	867
682	1862	864
683	1865	861
684	1867	858
685	1869	855
686	1872	853
687	1874	850
688	1876	847
689	1879	844
690	1881	841
691	1883	838
692	1886	835
693	1888	832
694	1891	829
695	1893	827
696	1895	824
697	1898	821
698	1900	818
699	1903	815
700	1905	812
701	1907	809
702	1910	806
703	1912	804
704	1914	801
705	1917	798
706	1919	795
707	1921	792
708	1924	789
709	1926	786
710	1928	784
711	1931	781
712	1933	778
713	1935	775
714	1938	772
715	1940	769
716	1943	767
717	1945	764
718	1948	761
719	1950	758
720	1952	755
721	1955	752
722	1957	750
723	1960	747
724	1962	744
725	1965	741
726	1967	738
727	1970	736
728	1972	733
729	1974	730
730	1977	727
731	1979	724
732	1981	721
733	1986	719
734	1988	716
735	1990	714
736	1992	711
737	1995	708
738	1997	705
739	2000	702
740	2002	699
741	2004	696
742	2006	694
743	2009	691
744	2011	688
745	2015	686
746	2018	683
747	2020	680
748	2022	677
749	2025	675
750	2027	672
751	2030	669
752	2032	666
753	2034	663
754	2037	661
755	2039	658
756	2041	655
757	2044	652
758	2046	649
759	2049	647
760	2051	644
761	2053	641
762	2056	638
763	2058	635
764	2060	633
765	2063	630
766	2065	627
767	2067	624
768	2070	621
769	2073	619
770	2075	616
771	2077	613
772	2080	610
773	2082	608
774	2085	605
775	2087	602
776	2090	599
777	2092	597
778	2094	594
779	2097	591
780	2099	588
781	2102	585
782	2104	583
783	2106	580
784	2109	577
785	2111	574
786	2114	572
787	2116	569
788	2118	566
789	2121	563
790	2123	561
791	2126	558
792	2128	555
793	2130	552
794	2133	550
795	2135	547
796	2138	544
797	2140	541
798	2143	539
799	2145	536
800	2148	533
801	2150	531
802	2153	528
803	2155	525
804	2158	522
805	2160	520
806	2163	517
807	2166	514
808	2168	512
809	2171	509
810	2173	506
811	2176	503
812	2178	501
813	2180	498
814	2183	495
815	2185	492
816	2187	490
817	2190	487
818	2192	484
819	2195	481
820	2197	479
821	2199	476
822	2202	473
823	2204	470
824	2207	468
825	2209	465
826	2211	462
827	2214	459
828	2216	457
829	2219	454
830	2223	452
831	2225	449
832	2227	446
833	2230	443
834	2232	441
835	2235	438
836	2237	435
837	2239	433
838	2242	430
839	2244	427
840	2247	424
841	2249	422
842	2251	419
843	2254	416
844	2256	413
